DateTime,Silver-INR,Silver-USD
10-02-1995 00:00,149.32596,4.76
13-02-1995 00:00,148.36118,4.73
14-02-1995 00:00,149.31168,4.76
15-02-1995 00:00,148.67484,4.74
16-02-1995 00:00,148.33753,4.73
17-02-1995 00:00,149.65398,4.77
20-02-1995 00:00,150.41704,4.78
21-02-1995 00:00,148.76016,4.74
22-02-1995 00:00,151.52676,4.83
23-02-1995 00:00,150.90413,4.81
24-02-1995 00:00,145.37274,4.63
27-02-1995 00:00,140.95008,4.49
28-02-1995 00:00,142.02292,4.52
01-03-1995 00:00,137.58894,4.38
02-03-1995 00:00,139.43868,4.43
03-03-1995 00:00,137.9884,4.4
06-03-1995 00:00,142.57152,4.48
07-03-1995 00:00,149.55941,4.69
08-03-1995 00:00,144.7082,4.55
09-03-1995 00:00,145.9987,4.61
10-03-1995 00:00,145.82889,4.59
13-03-1995 00:00,149.74974,4.71
14-03-1995 00:00,149.6104,4.7
15-03-1995 00:00,149.05975,4.75
16-03-1995 00:00,148.73958,4.73
17-03-1995 00:00,148.53619,4.73
20-03-1995 00:00,147.70217,4.69
21-03-1995 00:00,144.8034,4.6
22-03-1995 00:00,146.76795,4.65
23-03-1995 00:00,148.14772,4.69
24-03-1995 00:00,146.07516,4.62
27-03-1995 00:00,146.0613,4.62
28-03-1995 00:00,149.51856,4.74
29-03-1995 00:00,149.88764,4.76
30-03-1995 00:00,162.89546,5.18
31-03-1995 00:00,166.22767,5.29
03-04-1995 00:00,166.44456,5.29
04-04-1995 00:00,166.12187,5.29
05-04-1995 00:00,171.02272,5.44
06-04-1995 00:00,169.09858,5.42
07-04-1995 00:00,168.63411,5.37
10-04-1995 00:00,164.48884,5.24
11-04-1995 00:00,167.71338,5.34
12-04-1995 00:00,166.9416,5.32
13-04-1995 00:00,168.06816,5.36
14-04-1995 00:00,170.9011,5.45
17-04-1995 00:00,178.70583,5.69
18-04-1995 00:00,189.25758,6.03
19-04-1995 00:00,180.8352,5.76
20-04-1995 00:00,178.87084,5.69
21-04-1995 00:00,178.4656,5.68
24-04-1995 00:00,177.724,5.66
25-04-1995 00:00,179.1798,5.71
26-04-1995 00:00,175.4142,5.59
27-04-1995 00:00,183.27672,5.84
28-04-1995 00:00,179.88256,5.72
01-05-1995 00:00,183.59208,5.84
02-05-1995 00:00,185.73948,5.91
03-05-1995 00:00,188.21179,5.99
04-05-1995 00:00,190.97888,6.08
05-05-1995 00:00,189.7768,6.04
08-05-1995 00:00,187.44606,5.97
09-05-1995 00:00,172.667,5.5
10-05-1995 00:00,170.36144,5.42
11-05-1995 00:00,167.14347,5.33
12-05-1995 00:00,167.23952,5.32
15-05-1995 00:00,170.72463,5.43
16-05-1995 00:00,170.1445,5.41
17-05-1995 00:00,168.74151,5.37
18-05-1995 00:00,170.06876,5.41
19-05-1995 00:00,169.00194,5.38
22-05-1995 00:00,166.14303,5.29
23-05-1995 00:00,169.7658,5.41
24-05-1995 00:00,172.99196,5.51
25-05-1995 00:00,171.8127,5.47
26-05-1995 00:00,170.79424,5.44
29-05-1995 00:00,172.2503,5.47
30-05-1995 00:00,165.97375,5.29
31-05-1995 00:00,166.5525,5.3
01-06-1995 00:00,168.04885,5.35
02-06-1995 00:00,164.44689,5.23
05-06-1995 00:00,167.01076,5.32
06-06-1995 00:00,166.06897,5.29
07-06-1995 00:00,168.3308,5.36
08-06-1995 00:00,166.76586,5.31
09-06-1995 00:00,171.20085,5.45
12-06-1995 00:00,168.66096,5.37
13-06-1995 00:00,167.94185,5.35
14-06-1995 00:00,166.70745,5.31
15-06-1995 00:00,170.7888,5.44
16-06-1995 00:00,170.15006,5.42
19-06-1995 00:00,172.34757,5.49
20-06-1995 00:00,171.71971,5.47
21-06-1995 00:00,171.37848,5.46
22-06-1995 00:00,168.4569,5.37
23-06-1995 00:00,168.23968,5.36
26-06-1995 00:00,166.261,5.3
27-06-1995 00:00,167.13281,5.33
28-06-1995 00:00,164.536,5.24
29-06-1995 00:00,166.84551,5.31
30-06-1995 00:00,158.26104,5.04
03-07-1995 00:00,159.56788,5.08
04-07-1995 00:00,159.73035,5.07
05-07-1995 00:00,158.73726,5.06
06-07-1995 00:00,160.34158,5.11
07-07-1995 00:00,161.93628,5.16
10-07-1995 00:00,161.5452,5.15
11-07-1995 00:00,162.00852,5.16
12-07-1995 00:00,164.34212,5.24
13-07-1995 00:00,163.1084,5.2
14-07-1995 00:00,164.3526,5.24
17-07-1995 00:00,167.84555,5.35
18-07-1995 00:00,166.915,5.32
19-07-1995 00:00,163.2124,5.2
20-07-1995 00:00,160.95375,5.13
21-07-1995 00:00,163.0928,5.2
